id,deep
130,28
10,73
129,54
11,94
131,98
12,68
132,57
13,63
32,23
14,63
33,36
15,32
34,142
16,53
35,61
17,28
36,91
18,50
37,38
19,33
80,95
1,34
38,86
20,39
39,37
21,32
40,12
22,52
41,69
23,32
42,53
24,30
43,24
25,39
44,59
26,18
45,33
27,47
81,42
4,122
82,60
7,110
83,26
8,48
46,58
100,47
47,60
101,45
48,39
102,23
49,52
103,21
50,27
104,70
51,48
105,49
52,73
106,73
53,84
107,40
54,42
108,55
55,95
109,69
56,44
110,30
57,46
111,53
58,27
113,42
59,41
114,56
60,73
115,54
61,2
116,56
62,67
117,39
63,168
118,21
64,69
119,24
65,149
120,42
66,45
121,23
67,74
122,45
68,61
123,68
69,102
124,76
71,28
125,72
72,47
126,138
73,39
127,19
74,51
128,38
133,64
75,24
134,86
76,74
28,19
77,18
29,116
78,14
30,101
79,111
31,147
84,18
85,88
86,48
87,86
88,60
89,68
90,77
91,79
92,59
93,43
94,93
95,66
96,28
97,38
98,82
99,33
137,58
138,14
139,56
140,39
141,10
142,55
143,29
144,14
145,5
146,27
147,82
148,23
149,40
150,35
151,24
152,41
153,59
154,45
155,67
156,39
157,109
158,58
159,94
160,34
161,54
162,52
163,96
164,25
165,71
166,98
167,89
168,26
169,48
170,37
171,40
172,34
173,12
174,53
175,85
176,26
177,45
178,52
179,32
180,37
181,26
182,40
183,24
184,43
185,56
186,44
187,58
188,32
189,39
191,88
192,20
193,30
194,33
195,24
196,20
197,136
198,67
199,130
200,109
201,56
202,18
203,57
204,40
205,73
206,70
207,123
208,51
209,39
210,38
211,20
212,48
213,46
214,54
215,30
216,13
217,69
218,36
219,54
220,94
221,25
222,15
223,62
224,37
225,53
226,75
227,117
228,122
229,36
230,35
231,43
232,39
233,41
234,53
235,31
236,34
237,9
238,31
239,112
240,33
241,30
242,37
243,24
244,14
246,38
247,23
248,13
249,55
250,50
251,41
252,71
253,97
254,26
255,73
256,57
257,56
258,175
259,64
260,66
261,75
262,108
263,24
264,11
265,28
266,14
267,38
268,46
269,111
270,52
271,86
272,41
273,16
274,235
275,53
276,31
277,42
278,68
279,31
280,86
281,82
282,71
283,130
284,122
285,46
286,50
287,58
288,70
289,80
290,20
291,54
292,20
293,14
294,6
295,6
296,29
297,22
298,29
299,29
300,63
301,28
302,45
303,43
304,51
305,68
306,28
307,129
308,33
309,24
310,34
311,20
312,71
313,32
314,62
315,48
316,63
317,23
318,24
319,59
320,39
321,61
322,60
323,33
324,37
325,24
326,95
327,64
328,110
329,26
330,129
331,7
332,43
333,49
334,27
335,77
336,74
337,58
338,103
339,69
340,55
341,69
342,113
343,34
344,49
345,95
346,4
347,50
348,42
349,57
350,55
351,22
352,31
353,43
354,69
355,36
356,55
357,28
358,32
359,57
360,17
361,30
362,43
363,26
364,69
365,20
366,19
367,57
368,22
369,53
370,49
371,29
372,21
373,33
374,16
375,29
376,31
377,64
378,51
379,77
380,105
381,26
382,30
383,42
384,54
385,33
386,88
387,61
388,92
389,119
390,80
391,25
392,37
393,31
394,91
395,85
396,85
397,79
398,53
399,81
400,42
401,50
402,58
403,52
404,37
405,85
406,40
407,92
408,46
409,48
410,24
411,132
412,43
413,22
414,44
415,30
416,42
417,19
418,59
419,47
420,65
421,73
422,34
423,27
424,57
425,41
426,40
427,27
428,17
429,29
430,50
432,45
433,113
434,189
435,77
436,14
438,37
440,61
441,75
442,47
443,55
444,42
445,57
446,30
447,26
448,26
449,24
450,25
451,30
452,52
453,36
454,34
455,55
456,50
457,42
458,45
459,53
461,20
463,87
465,28
466,17
467,32
468,73
469,57
479,40
480,63
481,75
482,98
483,74
484,18
485,None
486,58
487,26
488,71
491,27
492,31
493,48
494,27
495,12
496,43
497,34
498,12
499,22
500,10
501,46
503,77
504,19
505,27
506,50
507,29
508,47
509,20
510,29
515,58
516,74
517,105
518,28
520,37
523,50
537,35
538,41
539,27
540,13
541,21
542,24
543,40
545,41
546,22
547,15
548,38
549,27
550,21
551,12
552,43
554,63
555,115
556,92
557,77
558,75
559,46
560,73
561,35
562,64
563,50
564,57
567,68
568,65
569,168
571,60
572,34
573,57
574,72
575,32
576,82
577,107
581,46
583,70
584,38
585,117
586,54
587,21
588,73
589,74
590,25
591,42
592,33
593,51
594,36
595,22
596,52
597,43
598,34
599,14
600,15
607,70
608,189
609,34
610,58
611,46
612,93
613,66
614,18
615,81
616,9
617,20
618,14
620,33
621,29
622,29
623,25
624,24
625,27
627,42
630,38
631,38
632,17
635,46
636,35
637,59
638,59
639,50
640,26
641,80
642,26
643,54
644,49
645,22
646,30
647,35
649,41
650,73
653,49
654,7
655,18
656,11
657,22
658,40
662,23
663,8
664,10
668,30
669,44
670,52
676,34
678,78
679,37
680,55
681,71
683,50
684,29
685,44
686,83
687,71
688,96
689,54
690,33
691,60
692,115
693,57
696,73
699,34
704,73
706,48
707,70
711,75
713,47
716,32
717,38
718,35
719,54
720,87
721,99
722,77
725,29
726,14
727,16
728,54
730,34
732,55
733,68
735,103
737,74
746,63
747,143
748,85
749,296
750,29
751,30
752,12
757,43
761,81
763,94
782,36
800,31
801,55
805,83
830,26
831,53
832,20
833,110
838,42
852,32
853,25
859,93
861,14
863,89
865,98
905,62
913,24
931,61
933,31
935,22
936,98
1017,60
1061,26
1094,73
1096,75
1106,69
1143,16
1144,31
1145,40
1146,26
1173,103
1174,141
1175,101
1177,34
1179,57
1180,40
1182,41
1184,79
1185,69
1186,None
1188,83
1233,28
1235,18
1236,9
1256,41
1257,91
1264,39
1326,10
1327,47
1328,13
1329,None
1330,None
1340,72
1350,152
1351,171
1352,87
1353,155
1354,177
1355,12
1357,50
1359,20
1361,34
1366,37
1368,93
1369,22
1412,26
1417,None
938,89
940,81
942,42
1428,None
1429,None
1430,None
1449,60
1450,125
1453,73
1455,26
1462,78
1463,30
1464,81
1465,47
1503,31
1504,55
1505,55
1506,11
1507,76
1508,43
1518,41
1545,70
1548,11
1549,24
1550,69
1551,55
1552,18
1557,80
1560,21
1561,94
1562,43
1563,45
1564,13
1613,31
1614,26
1615,13
1616,21
1624,38
1627,44
1628,67
1629,17
1657,10
1658,126
1659,68
1661,50
1662,52
1664,16
1709,47
1710,9
1711,28
1712,38
1724,134
1726,23
1750,26
1756,29
1758,61
1759,43
1761,49
1763,114
1764,33
1765,43
1766,85
1767,101
1768,149
1769,31
1827,88
1830,20
1831,121
1832,147
1836,13
1855,81
1867,32
1868,39
1871,7
1927,31
1938,19
1939,29
1963,36
1965,93
1967,41
1968,45
1969,34
1970,206
1971,60
2020,45
2022,36
2029,28
2044,90
2046,89
2049,99
2050,76
2051,90
2087,33
2088,29
2109,236
2110,73
2127,27
2141,70
2143,61
2145,48
2146,68
2147,37
2148,63
2159,19
2160,37
2161,11
2162,41
2163,22
2174,18
2175,140
2176,28
2177,99
2178,31
2179,56
2180,61
2181,16
2182,159
2198,15
2206,71
2207,70
2208,21
2210,65
2213,95
2215,41
2234,149
2236,246
2238,72
2239,57
2240,79
2253,51
2255,87
2256,100
2257,86
2259,46
2264,58
2265,44
2275,19
2277,50
2280,113
2281,53
2282,112
2309,79
2310,16
2311,47
2312,204
2313,107
2333,70
2334,20
2338,80
2352,48
2402,118
2445,70
2446,66
2447,55
2456,None
2457,76
2545,27
2546,66
2547,292
2615,39
2617,53
2699,42
2701,36
2702,62
2793,54
2795,41
2801,None
2803,34
2867,41
2868,46
2869,30
2870,42
2953,22
2970,33
2971,55
2973,52
3030,72
3031,39
3032,57
3033,111
3034,25
3122,16
3148,49
3149,48
3173,46
3174,44
3206,61
3207,27
3208,65
3209,34
3294,33
3295,99
3315,23
3318,155
3376,29
3378,84
3379,12
3446,25
3459,54
3460,31
3472,34
3503,38
3506,144
3507,84
3508,111
3535,23
3537,11
3538,27
3633,52
3656,121
3657,51
3684,133
3687,72
3688,62
3719,31
3720,41
3723,9
3826,75
3827,78
3850,103
3852,63
3860,76
3882,72
3883,115
3891,26
3892,48
3924,18
3925,19
3928,18
4001,None
4002,None
4019,13
4025,83
4043,79
4071,72
4072,33
4073,36
4074,19
4096,20
4098,20
4099,18
4156,None
4172,None
4191,88
4198,29
4199,94
4206,31
4227,48
4228,133
4229,80
4230,72
4248,32
4249,49
4250,73
4318,87
4319,30
4354,32
4356,77
4358,33
4370,31
4371,65
4372,16
4373,50
4374,60
4375,49
4438,98
4440,38
4442,51
4448,60
4449,65
4450,28
4451,144
4452,114
4486,56
4488,61
4493,132
4494,62
4496,29
4512,87
4514,72
4516,51
4517,43
4518,10
4519,33
4527,51
4529,80
4534,17
4535,12
4536,16
4537,17
4548,38
4550,53
4557,8
4558,10
4559,43
4560,66
4574,89
4575,20
4579,16
4615,37
4618,98
4628,108
4630,21
4635,54
4644,46
4660,40
4663,71
4694,30
4750,92
4753,109
4764,17
4766,18
4772,105
4812,47
4814,92
4816,80
4845,24
4853,56
4856,61
4865,10
4866,99
4867,57
4868,68
4886,48
4887,49
4931,69
4934,110
4944,37
4945,56
4946,72
4947,55
4952,23
4953,55
4954,22
5035,17
5037,31
5075,34
5107,45
5137,70
5141,48
5252,99
5254,42
5256,35
5258,31
5263,50
5297,70
5300,38
5310,84
5311,19
5312,69
5327,25
5328,47
5351,91
5365,48
5424,52
5426,23
5428,22
5460,29
5463,109
5471,29
5472,23
5500,62
5510,41
5514,45
5573,22
5575,37
5577,86
5604,35
5632,50
5681,151
5686,23
5707,64
5710,45
5728,70
5729,33
5741,86
5744,54
5752,43
5753,68
5757,27
5758,49
5801,128
5803,75
5807,18
5809,29
5819,49
5822,61
5837,60
5838,2
5839,118
5856,63
5859,73
5867,65
5917,17
5919,72
5921,75
5923,48
5933,98
5934,30
5960,38
6009,174
6011,30
6013,30
6021,42
6022,40
6023,19
6049,30
6097,43
6099,56
6101,30
6110,88
6111,125
6161,32
6181,67
6183,25
6185,28
6186,111
6188,40
6250,19
6252,52
6254,19
6256,41
6258,32
6284,45
6286,23
6337,30
6339,85
6341,78
6343,32
6345,25
6347,17
6370,27
6372,96
6373,127
6374,86
6375,87
6376,38
6378,66
6451,33
6453,45
6455,91
6456,51
6458,40
6460,46
6479,29
6492,29
6493,43
6494,99
6495,31
6496,22
6568,121
6570,57
6572,48
6574,21
6576,44
6593,67
6594,99
6596,182
6603,65
6616,84
6701,72
6703,43
6705,44
6706,55
6710,19
6730,94
6733,78
6865,69
6867,75
6869,76
6890,88
6891,69
6913,50
7039,48
7043,20
7044,26
7046,29
7048,51
7050,42
7054,64
7055,88
7056,60
7195,197
7197,34
7199,56
7201,30
7203,24
7205,45
7360,70
7364,21
7366,45
7368,36
7520,32
7522,41
7523,43
7525,20
7614,65
7616,18
7619,26
7677,26
7679,74
7681,40
7682,36
7684,36
7686,31
7752,43
7754,31
7757,57
7759,21
7808,57
7810,220
7812,46
7817,38
7883,19
7885,162
7887,11
7890,43
7971,22
7973,47
7975,26
7980,20
8057,53
8059,57
8061,27
8063,25
8065,27
8067,52
8166,71
8168,52
8170,36
8172,81
8174,45
8180,81
8285,18
8287,45
8289,35
8290,33
8292,32
8294,21
8296,16
8298,45
8300,16
8301,18
8313,13
8314,29
8315,29
8423,27
8425,50
8435,26
8439,50
8559,34
8561,70
8563,58
8581,65
8583,22
8585,39
8604,43
8614,30
8616,16
8673,38
8675,74
8677,87
8682,15
8684,36
8696,33
8698,39
8792,14
8794,83
8796,49
8798,33
8842,40
8844,39
8846,48
8848,48
8875,63
8896,20
8936,49
8938,17
8941,42
8943,21
8947,19
8990,76
8992,6
9015,18
9017,79
9019,13
9037,54
9038,35
9045,30
9049,46
9077,13
9125,27
9131,27
9133,42
9207,85
9208,80
9209,52
9236,34
9238,37
9240,24
9267,None
9270,None
9271,None
9272,None
9334,41
9336,60
9338,22
9407,85
9412,86
9448,24
9450,12
9452,21
9536,64
9538,43
10036,31
10038,88
10040,80
10042,17
10113,79
10126,38
10128,53
10130,11
10200,96
10202,46
10204,45
10270,72
10272,46
10350,97
10352,119
10354,47
10434,56
10436,58
10438,84
10500,72
10502,65
9659,34
9661,28
9734,76
9736,61
9738,22
9745,75
9903,75
9907,40
10558,60
10562,75
10564,19
10617,35
10619,38
10655,57
10657,29
10659,62
10709,56
10711,28
10713,66
10758,46
10760,43
10762,89
10768,30
10796,55
10798,22
10815,35
10824,64
10839,43
10841,35
10843,24
10868,21
10885,40
10888,29
10890,61
10892,62
10907,95
10926,63
10929,121
10931,61
10933,175
10935,21
10966,80
10969,43
10971,128
10973,85
10975,51
11002,18
11005,64
11008,50
11010,50
11012,100
11040,17
11043,19
11045,23
11047,44
11074,10
11077,39
11080,128
11082,32
11084,22
11108,37
11111,41
11113,39
11115,91
11149,57
11150,60
11151,14
11152,28
11153,84
11154,43
11155,30
11157,48
11159,41
11161,66
11193,35
11195,24
11197,67
11199,152
11211,19
11238,16
11240,34
11242,109
11250,26
11251,17
11252,18
11253,23
11254,12
11279,33
11281,73
11283,150
11284,37
11316,38
11318,67
11325,97
11352,30
11354,48
11356,81
11368,18
11372,17
11403,104
11405,156
11407,78
11424,26
11456,81
11458,42
11460,22
11476,56
11508,118
11510,45
11512,109
11525,23
11546,17
11549,34
11551,57
11557,222
11564,26
11568,35
11578,10
11580,13
11582,9
11590,57
11594,25
11610,51
11613,18
11630,44
11633,27
11655,40
11658,96
11672,17
11676,71
11678,148
11708,64
11723,23
11728,14
11729,5
11756,19
11765,19
11772,33
11775,11
11815,72
11816,20
11848,66
11869,36
11888,35
11889,113
11890,68
11909,39
11910,12
11911,27
11912,21
11913,18
12148,146
12150,115
12151,85
12152,69
12153,106
12154,103
12155,56
12156,38
12208,147
12210,166
12211,139
12212,60
12230,84
12231,93
12232,86
12233,106
12234,47
12255,98
12256,88
12257,67
12258,69
12259,84
12260,58
12279,108
12280,79
12282,124
12283,66
12284,111
12301,83
12302,112
12303,87
12304,62
12305,64
12313,268
12314,168
12315,81
12331,34
12332,56
12333,29
12334,15
12335,57
12485,67
12486,35
12487,73
12489,98
12490,78
12703,33
12704,14
12725,84
12726,34
12727,54
12764,35
12776,11
12777,13
12816,42
12817,35
12818,19
12836,32
12837,29
12838,13
13146,28
13148,3
13149,55
13150,28
13184,19
13192,25
13193,99
13194,60
13197,14
13364,19
13365,15
13769,59
13771,20
13772,54
13773,32
13774,55
13831,35
13867,28
13868,11
13869,68
13871,107
14112,69
14148,48
14149,61
14151,103
14152,109
14918,59
14920,101
15025,43
15027,44
15070,47
15072,55
15121,75
15123,None
15125,39
15168,49
15170,None
15172,20
15224,41
15225,57
16088,119
16790,42
16992,80
16994,46
16995,26
16996,61
17017,42
17018,54
17019,63
17020,30
17022,22
17039,56
17040,72
17052,49
17053,22
17277,27
17363,24
17422,70
17444,42
17445,172
17446,63
17523,3
18481,30
18485,183
18529,73
18530,23
18531,62
18566,158
18569,26
18577,41
19030,64
19032,84
19117,103
19652,136
19653,85
19706,71
19707,60
19708,25
19775,40
19776,15
19777,290
19778,25
19779,204
19780,34
19864,66
19866,123
19867,37
19869,42
19952,38
20039,159
20041,81
20043,131
20136,41
20138,43
20140,64
20260,33
20261,60
20263,87
20264,61
20265,35
20266,36
20408,68
20409,30
20410,35
20411,41
20412,24
20413,38
20543,96
20544,123
20545,73
20546,53
20547,34
20548,25
20661,22
20667,76
20762,46
20764,51
20765,55
21382,26
21479,43
21481,29
21483,35
21586,61
21663,83
21737,66
21739,3
21812,31
21814,11
21816,11
21879,74
21947,16
21949,64
22006,14
22008,24
22071,94
22173,18
22175,21
22237,36
22239,7
22305,16
22307,7
22380,7
22382,17
22384,32
22445,66
22447,51
22509,13
22511,34
22513,78
22587,62
22589,48
22591,37
22677,11
22679,23
22681,34
22764,10
22766,60
22768,11
22830,31
22832,75
22893,31
22895,62
22897,26
22963,72
22965,20
22967,20
23040,39
23109,39
23111,32
23113,15
23220,26
23222,131
23224,41
23334,40
23336,17
23338,29
23441,39
23442,59
23443,67
23444,17
23445,63
23539,68
23540,58
23541,30
23542,66
23543,72
23630,59
23631,40
23632,53
23633,98
23634,92
24554,167
24555,136
30379,41
30529,25
30530,52
30805,24
31172,43
31173,23
31174,14
31412,9
31413,77
31414,12
31416,16
31417,104
31418,56
31434,40
31622,30
31623,62
31640,82
31641,36
31677,31
32069,43
32072,24
32078,13
32124,7
32126,20
32128,77
32136,42
32137,44
32138,61
32139,37
32160,47
32196,44
32198,132
32222,29
32226,13
32228,13
32266,61
32267,41
32291,27
32319,114
32320,60
32347,98
32348,51
32350,110
32351,106
32352,55
32519,82
32520,83
32521,43
32522,25
32523,18
32534,33
32535,20
32536,33
32537,24
32550,92
32551,63
32552,36
32553,45
32554,77
32555,15
32560,29
32561,60
32596,85
32598,26
32600,45
32651,37
32654,86
32724,96
32725,42
32726,78
32728,78
32736,5
32737,6
32738,11
32753,21
32754,20
32755,40
32792,48
32794,52
32833,74
32849,9
32910,120
32911,43
32912,31
32913,52
32920,22
32922,52
32923,82
32925,12
32937,25
32991,37
33023,9
33035,13
33037,87
33038,30
33054,86
33083,27
33087,20
33091,28
33108,30
33136,49
33139,49
33158,30
33161,36
33242,26
33243,60
33244,47
33252,55
33295,12
33296,29
33299,7
33300,40
33316,24
33348,100
33349,88
33350,61
33351,50
33352,106
33371,63
33375,64
33376,79
33461,13
33514,27
33563,61
33565,51
33581,85
33582,21
33583,32
33593,45
33594,31
33596,17
33607,42
33712,104
33713,27
33717,56
33725,3
33727,23
33728,16
33753,25
33757,25
33760,38
33762,45
33791,59
33801,32
33806,90
33848,88
33849,28
33850,43
33851,114
33852,28
33858,37
33897,121
33899,64
33934,38
33935,101
33967,60
33968,68
33969,32
33970,41
33971,107
34050,41
34082,19
34083,24
34084,96
34085,38
34086,94
34087,128
34158,78
34201,57
34202,122
34203,26
34228,163
34301,66
34303,57
34305,134
34345,43
34347,32
34348,43
34356,119
34358,134
34385,119
34387,82
34389,92
34468,69
34469,34
34470,40
34471,18
34473,27
34474,56
34483,109
34485,85
34489,125
34491,36
34492,60
34516,106
34614,39
34615,14
34618,63
34619,34
34640,67
34766,35
34767,253
34768,82
34780,53
34915,29
34916,38
34917,51
34918,70
34919,149
34935,72
34941,25
35066,18
35068,13
35069,38
35070,39
35071,27
35078,40
35159,18
35214,31
35215,41
35216,42
35217,92
35337,14
35338,36
35339,12
35340,27
35341,94
35473,23
35475,31
35587,59
35588,68
35592,77
35712,27
35713,38
35714,22
35715,60
35716,27
35799,62
35800,77
35801,71
35802,58
35803,25
35902,19
35905,49
35906,46
35907,75
35908,50
36010,18
36011,49
36012,116
36013,73
36099,99
36100,82
36102,101
36104,40
36179,100
36188,105
36251,73
36253,70
36255,41
36305,69
36460,102
36520,21
36589,95
36591,80
36631,35
36694,25
36842,76
36844,33
36846,78
36953,24
36954,16
36955,21
36956,30
36958,45
37005,35
37007,73
37009,43
37080,25
37116,58
37118,78
37120,91
37187,62
37189,None
37191,113
37240,87
37242,67
37244,103
37377,67
37379,64
37381,259
37429,148
37498,86
37500,49
37502,51
37584,73
37676,86
37678,44
37680,45
37682,92
37748,50
37750,36
37821,47
37823,176
37908,9
37912,73
37914,3
38014,40
38016,118
38018,63
38159,130
39553,34
42262,63
42483,38
42705,70
42880,4
42884,10
43134,33
43259,220
43379,73
43381,53
43382,44
43383,71
43527,31
43528,37
43529,68
43532,123
43690,77
43691,44
43692,114
43693,71
43694,58
43695,65
43696,25
43875,86
43876,84
43877,77
43878,55
44069,45
44071,87
44073,26
44262,30
44263,46
44264,65
44265,49
44266,36
44452,30
44453,65
44454,21
44455,37
44618,66
44621,32
44622,71
44623,83
44624,49
44758,30
44759,56
44760,43
44761,58
44762,45
44881,26
44984,63
44985,40
44986,47
44987,139
44988,15
45081,49
45082,44
45083,32
45084,49
45085,31
45208,38
45209,100
45211,62
45212,23
45333,68
45336,54
45337,39
45338,5
45479,14
45480,6
45648,26
46238,53
46581,19
46638,78
46639,91
46728,53
46730,28
46734,40
46868,18
46870,53
46871,18
46872,41
46875,61
46876,137
46878,49
46879,88
46880,50
47056,None
47065,134
47067,66
47185,18
47457,35
47458,36
48617,107
48695,52
48699,44
48774,58
48775,78
48837,41
48867,53
48869,48
48870,40
48928,46
48929,99
48931,33
48933,35
48950,114
48951,38
48952,42
48972,100
49015,35
49016,27
49017,46
49018,41
49019,24
49020,17
49043,81
49044,8
49045,41
49046,31
49047,38
49079,46
49081,48
49082,45
49083,40
49084,59
49140,8
49141,13
49142,73
49143,64
49145,36
49226,92
49228,33
49230,75
49401,17
49402,34
49404,57
49406,85
49596,21
49597,60
58829,112
58852,41
59344,18
59347,32
59464,35
59343,18
59438,33
59449,41
59456,24
59458,36
59461,37
59468,19
59543,23
59555,16
59559,57
59641,52
59645,34
59649,20
59657,16
59661,29
59666,77
59669,63
59672,43
59775,28
59783,52
59787,29
59795,10
59799,76
59802,27
59805,85
59808,75
59926,60
59928,85
59939,19
59948,19
59952,14
59954,20
59957,76
59962,42
59965,75
60104,32
60107,43
60115,64
60119,44
60129,25
60135,26
60140,15
60286,140
60290,46
60299,36
60313,22
60316,34
60319,33
60322,56
60446,66
60455,48
60466,26
60470,10
60478,94
60482,16
60639,37
60642,73
60643,82
60644,95
60666,19
60670,72
60673,51
60841,56
60844,39
60845,40
61024,70
61140,83
107922,35
113668,43
114602,20
118039,150
122728,97
135319,79
138519,29
140105,50
60655,49
60861,18
60868,82
61133,15
61137,20
61139,138
61141,42
61142,32
61143,55
61144,60
61228,9
61233,61
61234,80
61235,95
61476,16
61552,18
61795,19
64720,49
74363,35
74470,130
92581,40
94616,30
94619,35
94629,29
94648,50
97048,38
99838,204
99904,117
143711,36
143712,65
143713,77
143749,102
143750,88
143751,61
143951,102
144254,85
145900,52
145902,77
155849,53
155992,97
156215,129
164199,76
164230,74
164233,58
164263,55
164309,80
164311,110
164314,86
164316,29
164344,49
164348,52
164349,70
164351,64
164353,56
164355,67
164390,33
164392,68
164396,30
164398,105
164440,92
164442,33
164444,69
164445,36
164447,47
164506,64
164508,77
164510,112
164511,24
164513,87
164515,100
164517,103
164594,93
164596,59
164598,80
164600,61
164602,33
166616,36
167103,45
167104,115
167105,49
167176,34
167177,27
167802,97
167803,92
167807,32
167911,18
167912,28
167973,100
167974,167
168031,154
168032,322
168033,33
168086,46
167871,16
169194,24
169447,37
169644,31
169824,2
169826,7
169828,23
169888,3
169890,None
169892,62
169944,76
169946,96
169984,97
169986,48
169988,93
170026,57
170028,123
170040,173
170042,81
170091,29
170092,28
170093,68
170107,67
170109,188
170111,92
170171,97
170172,37
170174,77
170182,58
170184,76
170186,48
170188,47
170249,113
170250,119
170252,64
170261,43
170263,32
170265,70
170308,184
170309,62
170312,93
170318,52
170320,84
170322,42
170355,20
170361,75
170363,56
170365,64
170441,28
170442,24
170473,8
170476,71
170521,22
170523,25
170535,46
170569,40
170571,35
170678,116
170680,15
170695,49
170697,111
170722,100
170724,13
170732,69
170734,67
170766,17
170768,9
170806,81
170808,45
170809,58
170858,118
170860,34
170989,85
170991,47
171036,39
171063,79
171100,102
171102,30
171114,194
171141,118
171171,35
171173,51
171220,89
171222,25
171251,27
171305,45
171331,31
171398,71
171427,35
171485,61
171497,73
171555,73
171571,145
171588,46
171658,84
171664,40
171666,45
171680,110
171682,67
171684,41
171733,45
171769,123
171783,26
171808,24
171810,34
171867,83
171884,32
171888,24
171890,58
171908,80
171930,51
171940,145
171991,None
172040,22
172042,59
172084,42
172086,59
172115,69
172136,75
172200,47
172345,68
172347,106
172349,84
172533,64
172540,103
172636,66
172843,51
172847,42
172907,55
172960,54
172962,33
172964,69
173065,70
173079,43
173178,74
173182,71
173569,125
173571,98
173693,85
173695,108
173751,65
173753,60
173755,48
173626,56
173814,130
173964,90
173970,93
174032,70
174345,17
174346,81
174417,11
174420,67
174425,108
174600,22
175482,23
175559,61
175560,48
175561,58
175562,42
175563,35
175564,50
175690,73
175691,134
175755,54
175756,58
177544,41
177609,36
177626,34
177627,50
177628,27
177632,31
177635,178
177637,66
177639,101
177664,42
177666,93
177668,None
177699,59
177706,73
177708,39
177710,33
177728,54
177733,12
177743,159
177745,191
177747,201
177749,32
177751,44
177753,44
177780,54
177782,72
177784,83
177818,25
177822,79
177824,61
177826,73
177828,38
177874,55
177875,199
177876,130
177877,27
177889,138
177891,201
177893,213
177895,35
177897,165
177899,123
177919,67
177921,76
177934,102
177938,42
177991,93
177992,40
177993,23
177994,19
177995,21
178011,87
178013,133
178015,50
178036,208
178038,65
178040,103
178045,42
178049,96
178113,9
178114,90
178115,None
178117,21
178135,35
178144,91
178261,66
178262,31
178263,44
178264,30
178289,66
178293,60
178409,33
178410,72
178411,31
178412,44
178413,18
178437,117
178550,36
178551,31
178552,48
178553,50
178576,69
178580,98
178710,45
178711,42
178712,59
178713,43
178714,57
178715,111
178741,83
178874,32
178875,30
178876,8
178877,19
178878,26
178879,38
178896,116
178900,146
178979,8
178980,10
178981,72
178982,48
178983,20
178984,74
178998,55
179036,10
179037,41
179038,99
179039,89
179040,46
179048,55
179069,8
179070,8
179072,23
179073,22
179074,9
179081,44
179085,24
179096,4
179097,38
179098,55
179099,40
179108,97
179119,112
179120,20
179121,153
179122,108
179123,28
179124,20
179131,68
179135,50
179138,22
179140,88
179141,16
179148,45
179149,71
179150,5
179151,6
179152,49
179160,34
179182,23
179183,5
179184,2
179193,44
179224,53
179243,47
179246,65
179265,49
179283,44
180701,79
181712,71
181715,44
181718,40
181721,19
181724,74
181728,67
181732,102
181733,69
181742,82
181747,30
181750,24
181762,53
181765,21
181780,94
181795,48
181799,49
181806,10
181821,21
181878,29
181879,104
181880,107
181881,26
181882,12
181884,55
181889,12
181890,28
181891,41
181892,66
181894,51
181895,36
181896,50
181897,81
181898,63
181900,46
181901,23
181908,90
181909,75
181910,15
181911,92
181913,58
181915,58
181912,56
181914,35
181916,17
181917,18
181918,31
181920,18
181921,116
181922,31
181925,51
181926,21
181927,31
181928,None
181929,31
181930,14
181931,21
181932,36
181933,63
181934,74
181935,53
181941,75
181942,63
181946,66
181950,67
181953,41
181954,47
181955,51
181957,51
181965,47
181966,13
181969,31
181970,24
181971,52
181973,30
181981,35
181982,14
181983,18
181984,15
181985,65
181988,39
181992,49
181993,16
181996,21
182008,18
182024,15
182145,143
182148,21
182201,18
182222,128
182225,140
182227,61
182230,61
182294,47
182312,36
182317,94
182365,224
182369,50
182379,97
182382,231
182386,20
182389,107
182443,27
182446,73
182449,50
182498,32
182504,65
182543,38
182544,33
182545,33
182559,49
182563,35
182566,66
182570,39
182606,45
182607,75
182608,71
182609,42
182610,26
182619,130
182625,10
182661,117
182665,30
182667,59
182670,66
182707,95
182710,74
182711,71
182715,28
182740,32
182741,20
182742,35
182752,50
182757,53
182760,19
182778,37
182779,25
182780,29
182781,16
182782,35
182783,46
182789,71
182793,129
182797,129
182806,22
182807,23
182815,56
182818,109
182821,100
182833,28
182834,38
182835,27
182836,33
182837,40
182862,19
182863,21
182864,22
182865,36
182866,41
182867,47
182894,19
182895,28
182896,18
182897,67
182898,33
182899,26
182923,26
182924,29
182925,21
182926,34
182927,33
182928,31
182946,14
182947,36
182948,28
182949,22
182950,31
182951,26
182952,16
182963,26
182964,24
182965,63
182966,49
182967,25
182968,56
182981,24
182982,15
182983,18
182984,23
182985,13
182986,13
182998,12
182999,23
183000,20
183001,26
183002,24
183015,18
183016,35
183017,64
183018,35
